1305	AF293|CM000169.1_3816219_3818225	AF10|AFXL01000032.1_131328_133334	AF210|AFXM01000301.1_98324_100330	A1163|DS499594.1_3884090_3886096	Z5|KQ087359.1_992938_994944	RP2014|JHOI01000565.1_117711_119717	LMB35AA|MCQI02000122.1_63368_65374	JCM10253|BCGY01000005.1_1588468_1590474	ISSFT021|LWRT01000211.1_6643_8649	IF1SWF4|LWRU01000040.1_97980_99986	----------	HMRAF270|NKHT01000056.1_80694_82700
4724	AF293|CM000171.1_3985940_3986975	AF10|AFXL01000018.1_241308_242343	----------	A1163|DS499596.1_76429_77464	Z5|KQ087376.1_166092_167613	RP2014|JHOI01000401.1_28524_29049	LMB35AA|MCQI02000143.1_39898_41419	JCM10253|BCGY01000009.1_61664_63185	ISSFT021|LWRT01000214.1_669954_671475	IF1SWF4|LWRU01000116.1_63514_65035	HMRAF706|NKHS01000118.1_16632_18153	HMRAF270|NKHT01000141.1_16631_18152
9344	AF293|CM000175.1_1880989_1882239	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
3024	AF293|CM000170.1_4007187_4008998	AF10|AFXL01000256.1_4590_6401	----------	A1163|DS499595.1_3981474_3983285	Z5|KQ087360.1_795938_797749	RP2014|JHOI01000491.1_36908_38719	LMB35AA|MCQI02000131.1_1976582_1978393	JCM10253|BCGY01000004.1_782662_784473	ISSFT021|LWRT01000040.1_68458_70269	IF1SWF4|LWRU01000118.1_4549_6360	HMRAF706|NKHS01000218.1_37584_39395	HMRAF270|NKHT01000030.1_4737_6548
3571	AF293|CM000171.1_632051_634289	AF10|AFXL01000124.1_4745_60824	AF210|AFXM01000315.1_266984_269048	A1163|DS499596.1_3427807_3483892	Z5|KQ087364.1_798713_800777	----------	----------	JCM10253|BCGY01000011.1_607534_609598	ISSFT021|LWRT01000212.1_71645_73709	IF1SWF4|LWRU01000005.1_126742_128806	HMRAF706|NKHS01000001.1_267106_269170	HMRAF270|NKHT01000206.1_28344_30408
7435	AF293|CM000173.1_3933369_3933704	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
4487	AF293|CM000171.1_3372066_3373579	AF10|AFXL01000082.1_9448_10961	AF210|AFXM01000438.1_15693_17207	A1163|DS499596.1_689100_690613	Z5|KQ087362.1_679268_680782	RP2014|JHOI01000530.1_3772_5285	LMB35AA|MCQI02000151.1_187653_189166	JCM10253|BCGY01000001.1_1783984_1785497	ISSFT021|LWRT01000214.1_54771_56276	IF1SWF4|LWRU01000198.1_107060_108565	HMRAF706|NKHS01000010.1_25721_27234	----------
10719	----------	----------	----------	----------	Z5|KQ087367.1_104272_105298	----------	----------	----------	----------	----------	----------	----------
521	AF293|CM000169.1_1565528_1566426	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
7	AF293|CM000169.1_13021_13740	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
10870	----------	----------	----------	----------	----------	RP2014|JHOI01000632.1_260184_260582	LMB35AA|MCQI02000065.1_245542_245992	----------	----------	----------	----------	----------
92	AF293|CM000169.1_390763_391294	----------	----------	----------	Z5|KQ087375.1_481069_481600	----------	----------	JCM10253|BCGY01000006.1_1856560_1857091	----------	----------	----------	HMRAF270|NKHT01000200.1_41663_42194
7438	AF293|CM000174.1_28086_29755	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
1657	AF293|CM000169.1_4902296_4910253	AF10|AFXL01000236.1_1352_11393	AF210|AFXM01000145.1_12448_20413	----------	Z5|KQ087374.1_19223_27188	RP2014|JHOI01000341.1_1349_9306	LMB35AA|MCQI02000117.1_13281_21238	JCM10253|BCGY01000017.1_9521_17478	ISSFT021|LWRT01000019.1_129438_139478	IF1SWF4|LWRU01000120.1_2059_7701	HMRAF706|NKHS01000407.1_5442_15482	HMRAF270|NKHT01000367.1_1549_9514
1655	AF293|CM000169.1_4898382_4900173	----------	AF210|AFXM01000146.1_759_2550	----------	Z5|KQ087374.1_29324_31115	RP2014|JHOI01000261.1_601_2390	LMB35AA|MCQI02000117.1_23350_25139	----------	ISSFT021|LWRT01000019.1_125510_127301	IF1SWF4|LWRU01000090.1_125474_127265	HMRAF706|NKHS01000320.1_747_2538	HMRAF270|NKHT01000026.1_11651_13442
10709	----------	----------	----------	----------	Z5|KQ087367.1_58192_59254	----------	----------	----------	----------	----------	----------	----------
10339	----------	----------	AF210|AFXM01000277.1_17690_20256	----------	----------	----------	----------	JCM10253|BCGY01000015.1_21024_23590	----------	----------	----------	----------
3585	AF293|CM000171.1_671968_673243	----------	----------	----------	Z5|KQ087364.1_757880_759143	RP2014|JHOI01000632.1_5528_6803	LMB35AA|MCQI02000161.1_432681_433956	JCM10253|BCGY01000011.1_564906_566181	----------	----------	----------	HMRAF270|NKHT01000028.1_159438_160713
3586	AF293|CM000171.1_674016_675223	----------	----------	----------	----------	RP2014|JHOI01000632.1_3511_4718	LMB35AA|MCQI02000161.1_434767_435974	JCM10253|BCGY01000011.1_562889_564096	----------	----------	----------	HMRAF270|NKHT01000028.1_154572_158647
3699	AF293|CM000171.1_1004426_1006634	AF10|AFXL01000167.1_47936_50143	AF210|AFXM01000314.1_9940_12148	A1163|DS499596.1_3031708_3033914	Z5|KQ087362.1_3028246_3030454	----------	LMB35AA|MCQI02000213.1_124605_126815	JCM10253|BCGY01000011.1_239842_242049	ISSFT021|LWRT01000298.1_230625_232832	IF1SWF4|LWRU01000188.1_38662_40869	HMRAF706|NKHS01000207.1_18783_20990	HMRAF270|NKHT01000276.1_23888_26096
10703	----------	----------	----------	----------	Z5|KQ087367.1_44466_45598	----------	----------	----------	----------	----------	----------	----------
10702	----------	----------	----------	----------	Z5|KQ087367.1_42173_43048	----------	----------	----------	----------	----------	----------	----------
440	AF293|CM000169.1_1315284_1316954	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
10707	----------	----------	----------	----------	Z5|KQ087367.1_53787_55718	----------	----------	----------	----------	----------	----------	----------
26	AF293|CM000169.1_82145_83012	----------	----------	A1163|DS499596.1_4192858_4193823	----------	----------	----------	----------	ISSFT021|LWRT01000221.1_26936_29080	IF1SWF4|LWRU01000197.1_65805_67321	HMRAF706|NKHS01000144.1_24533_26049	HMRAF270|NKHT01000055.1_87395_88262
10706	----------	----------	----------	----------	Z5|KQ087367.1_52528_53762	----------	----------	----------	----------	----------	----------	----------
3153	AF293|CM000170.1_4348487_4350300	AF10|AFXL01000336.1_2628_4441	AF210|AFXM01000422.1_406566_408379	A1163|DS499595.1_4322836_4324649	Z5|KQ087360.1_453937_455750	RP2014|JHOI01000623.1_6917_8739	LMB35AA|MCQI02000131.1_2316307_2318129	JCM10253|BCGY01000004.1_439552_441365	ISSFT021|LWRT01000196.1_174705_176518	IF1SWF4|LWRU01000098.1_172342_174155	----------	----------
2103	AF293|CM000170.1_1244677_1245756	AF10|AFXL01000026.1_176843_177922	AF210|AFXM01000304.1_131603_132682	A1163|DS499595.1_1233541_1234620	Z5|KQ087365.1_611660_612739	RP2014|JHOI01000612.1_4737_5816	LMB35AA|MCQI02000082.1_298537_299616	JCM10253|BCGY01000008.1_553240_554319	ISSFT021|LWRT01000220.1_291626_292705	----------	----------	HMRAF270|NKHT01000214.1_613_1692
7864	AF293|CM000174.1_1245682_1246887	AF10|AFXL01000130.1_39781_40986	AF210|AFXM01000345.1_56257_57462	----------	Z5|KQ087373.1_47779_48984	RP2014|JHOI01000439.1_35508_36713	LMB35AA|MCQI02000044.1_508858_510063	JCM10253|BCGY01000010.1_39891_41096	ISSFT021|LWRT01000001.1_449467_450672	IF1SWF4|LWRU01000128.1_27422_28627	HMRAF706|NKHS01000151.1_37938_39143	HMRAF270|NKHT01000063.1_36076_37281
7861	AF293|CM000174.1_1241171_1242705	AF10|AFXL01000130.1_35271_36805	AF210|AFXM01000345.1_51746_53280	A1163|DS499602.1_64305_65839	Z5|KQ087373.1_51961_53495	----------	LMB35AA|MCQI02000044.1_504352_505886	JCM10253|BCGY01000010.1_44072_45606	ISSFT021|LWRT01000001.1_444957_446491	IF1SWF4|LWRU01000128.1_22912_24446	HMRAF706|NKHS01000151.1_42119_43653	HMRAF270|NKHT01000063.1_40258_41792
7622	AF293|CM000174.1_593376_595084	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
7147	AF293|CM000173.1_3165144_3166547	AF10|AFXL01000055.1_134278_135681	AF210|AFXM01000402.1_157960_159363	A1163|DS499597.1_3068824_3070227	Z5|KQ087363.1_3183537_3184940	----------	LMB35AA|MCQI02000058.1_230752_232155	JCM10253|BCGY01000002.1_687898_689301	ISSFT021|LWRT01000187.1_265171_266574	IF1SWF4|LWRU01000001.1_73227_74625	HMRAF706|NKHS01000463.1_3712_5110	----------
9482	AF293|CM000176.1_238140_243451	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
9523	AF293|CM000176.1_355247_356792	AF10|AFXL01000007.1_70373_71918	AF210|AFXM01000372.1_23760_25305	A1163|DS499600.1_1598393_1599938	Z5|KQ087367.1_1552999_1554544	----------	----------	----------	----------	----------	----------	----------
9402	AF293|CM000176.1_42181_43527	AF10|AFXL01000007.1_363512_364858	AF210|AFXM01000334.1_45574_46920	A1163|DS499600.1_1889676_1891022	Z5|KQ087367.1_1849076_1850422	RP2014|JHOI01000399.1_27372_28718	----------	JCM10253|BCGY01000006.1_1953564_1954910	ISSFT021|LWRT01000033.1_50580_51926	IF1SWF4|LWRU01000186.1_341563_342909	HMRAF706|NKHS01000214.1_4651_5997	HMRAF270|NKHT01000215.1_4649_5995
10548	----------	----------	----------	A1163|DS499600.1_33917_39041	----------	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000094.1_20583_25707
11106	----------	----------	----------	----------	----------	----------	----------	----------	ISSFT021|LWRT01000273.1_28_1486	----------	----------	----------
6317	AF293|CM000173.1_745166_746874	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
4816	AF293|CM000172.1_210315_212023	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
10718	----------	----------	----------	----------	Z5|KQ087367.1_101436_102044	----------	----------	----------	----------	----------	----------	----------
31	AF293|CM000169.1_94950_96601	AF10|AFXL01000220.1_6622_8273	----------	----------	----------	----------	----------	----------	ISSFT021|LWRT01000221.1_48027_48889	----------	----------	HMRAF270|NKHT01000055.1_100203_101854
10986	----------	----------	----------	----------	----------	----------	----------	JCM10253|BCGY01000014.1_428239_429311	----------	----------	----------	HMRAF270|NKHT01000043.1_107233_108305
10980	----------	----------	----------	----------	----------	----------	----------	JCM10253|BCGY01000014.1_420081_421659	----------	----------	----------	HMRAF270|NKHT01000043.1_114885_116463
4757	AF293|CM000172.1_52604_53108	AF10|AFXL01000118.1_28821_29325	AF210|AFXM01000380.1_2438_2942	A1163|DS499604.1_57882_58386	Z5|KQ087365.1_2381448_2381952	----------	LMB35AA|MCQI02000203.1_403744_404248	JCM10253|BCGY01000014.1_32737_33241	ISSFT021|LWRT01000188.1_586_1090	IF1SWF4|LWRU01000088.1_38020_38524	HMRAF706|NKHS01000013.1_150834_151338	HMRAF270|NKHT01000218.1_1836_2340
9410	AF293|CM000176.1_62555_62968	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
10760	----------	----------	----------	----------	Z5|KQ087372.1_91778_92501	----------	----------	----------	----------	----------	----------	----------
7425	AF293|CM000173.1_3887289_3888230	----------	----------	A1163|DS499599.1_2008507_2009448	----------	----------	----------	----------	----------	----------	----------	----------
7424	AF293|CM000173.1_3883931_3884993	----------	----------	A1163|DS499599.1_2005230_2006211	----------	----------	----------	----------	----------	----------	----------	----------
7423	AF293|CM000173.1_3882424_3883743	----------	----------	A1163|DS499599.1_2003642_2004961	----------	----------	----------	----------	----------	----------	----------	----------
7422	AF293|CM000173.1_3881388_3881835	----------	----------	A1163|DS499599.1_2002606_2003053	----------	----------	----------	----------	----------	----------	----------	----------
4881	AF293|CM000172.1_369125_369944	AF10|AFXL01000113.1_74412_75230	AF210|AFXM01000428.1_151668_152489	A1163|DS499604.1_400468_401286	Z5|KQ087365.1_2024720_2025539	RP2014|JHOI01000542.1_62_881	LMB35AA|MCQI02000203.1_69287_70108	JCM10253|BCGY01000014.1_373834_374598	ISSFT021|LWRT01000261.1_11914_12733	IF1SWF4|LWRU01000031.1_11936_12755	HMRAF706|NKHS01000391.1_34_853	----------
7420	AF293|CM000173.1_3874538_3877887	----------	----------	A1163|DS499599.1_1995756_1999105	----------	RP2014|JHOI01000386.1_20791_24140	----------	JCM10253|BCGY01000006.1_146666_150012	ISSFT021|LWRT01000078.1_138162_141523	----------	HMRAF706|NKHS01000017.1_151542_154903	----------
8722	AF293|CM000175.1_1924_4471	----------	AF210|AFXM01000442.1_855_3021	A1163|DS499601.1_1838651_1843127	Z5|KQ087374.1_1344_3618	----------	----------	JCM10253|BCGY01000011.1_1256120_1258991	----------	----------	----------	----------
2161	AF293|CM000170.1_1423192_1423681	AF10|AFXL01000026.1_792_1284	AF210|AFXM01000418.1_102047_102536	----------	----------	----------	LMB35AA|MCQI02000082.1_474957_475446	----------	ISSFT021|LWRT01000199.1_130447_130936	IF1SWF4|LWRU01000154.1_6919_7408	HMRAF706|NKHS01000182.1_27700_28189	HMRAF270|NKHT01000018.1_56823_57312
11294	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000171.1_1630_7634
2162	AF293|CM000170.1_1424085_1425858	AF10|AFXL01000172.1_70_621	AF210|AFXM01000418.1_100112_101459	A1163|DS499595.1_1410997_1412242	----------	RP2014|JHOI01000612.1_182472_183942	LMB35AA|MCQI02000082.1_475850_477608	----------	ISSFT021|LWRT01000217.1_54702_55992	IF1SWF4|LWRU01000196.1_939_2286	HMRAF706|NKHS01000182.1_25765_27112	HMRAF270|NKHT01000018.1_54888_56235
4261	AF293|CM000171.1_2700791_2702461	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
10501	----------	----------	----------	A1163|DS499596.1_4238508_4239471	----------	----------	----------	----------	----------	----------	HMRAF706|NKHS01000345.1_8068_8811	----------
9125	AF293|CM000175.1_1207206_1208004	AF10|AFXL01000112.1_68949_69747	AF210|AFXM01000200.1_18140_18938	A1163|DS499601.1_1208528_1209326	Z5|KQ087369.1_446979_447777	RP2014|JHOI01000241.1_2036_2654	----------	JCM10253|BCGY01000012.1_411685_412483	ISSFT021|LWRT01000279.1_480817_481615	IF1SWF4|LWRU01000201.1_106403_107201	HMRAF706|NKHS01000273.1_28452_29250	HMRAF270|NKHT01000223.1_37589_38207
10307	----------	----------	AF210|AFXM01000231.1_29_2267	----------	----------	----------	----------	----------	----------	----------	----------	----------
11267	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000097.1_39122_40174
10657	----------	----------	----------	----------	Z5|KQ087359.1_1597206_1598111	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000073.1_29057_30935
7789	AF293|CM000174.1_1024158_1025772	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
9342	AF293|CM000175.1_1873439_1877817	AF10|AFXL01000087.1_72094_74934	AF210|AFXM01000262.1_165587_167461	----------	Z5|KQ087364.1_332194_334068	RP2014|JHOI01000484.1_59639_62753	LMB35AA|MCQI02000113.1_59063_62152	----------	----------	----------	----------	HMRAF270|NKHT01000125.1_16883_19972
10188	----------	AF10|AFXL01000182.1_34532_35552	----------	A1163|DS499596.1_4128026_4129046	----------	----------	----------	----------	ISSFT021|LWRT01000191.1_36725_37623	IF1SWF4|LWRU01000197.1_131303_132323	HMRAF706|NKHS01000024.1_125597_126617	----------
9032	AF293|CM000175.1_941008_942848	AF10|AFXL01000022.1_98156_99996	----------	A1163|DS499601.1_934593_936433	Z5|KQ087369.1_174468_176308	RP2014|JHOI01000609.1_82704_84544	LMB35AA|MCQI02000065.1_731017_732857	JCM10253|BCGY01000012.1_145672_147512	ISSFT021|LWRT01000031.1_186933_188773	IF1SWF4|LWRU01000096.1_100181_102021	HMRAF706|NKHS01000075.1_47072_48912	HMRAF270|NKHT01000034.1_45572_47412
3702	AF293|CM000171.1_1026480_1027313	AF10|AFXL01000192.1_14089_14922	AF210|AFXM01000206.1_100812_101645	A1163|DS499596.1_3117461_3118294	Z5|KQ087362.1_2012135_2012968	----------	LMB35AA|MCQI02000147.1_53903_54736	JCM10253|BCGY01000001.1_3169143_3169976	ISSFT021|LWRT01000048.1_37523_38356	IF1SWF4|LWRU01000008.1_35645_36478	HMRAF706|NKHS01000211.1_961_1794	HMRAF270|NKHT01000036.1_87264_88097
9329	AF293|CM000175.1_1750742_1752387	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
4820	AF293|CM000172.1_217440_218463	----------	----------	----------	Z5|KQ087365.1_2213619_2214550	----------	----------	JCM10253|BCGY01000014.1_191462_192382	ISSFT021|LWRT01000188.1_181335_182782	----------	HMRAF706|NKHS01000189.1_7082_8529	HMRAF270|NKHT01000256.1_7076_8534
10381	----------	----------	AF210|AFXM01000305.1_45267_46442	----------	Z5|KQ087360.1_1192221_1193396	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000016.1_31050_32225
6630	AF293|CM000173.1_1707612_1709320	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
7790	AF293|CM000174.1_1026794_1028234	AF10|AFXL01000020.1_231514_232954	AF210|AFXM01000278.1_124993_126433	A1163|DS499602.1_278836_280276	Z5|KQ087373.1_266946_268386	----------	LMB35AA|MCQI02000044.1_289483_290923	JCM10253|BCGY01000010.1_264780_266220	ISSFT021|LWRT01000001.1_231530_232970	IF1SWF4|LWRU01000158.1_191197_192637	HMRAF706|NKHS01000018.1_138034_139474	HMRAF270|NKHT01000231.1_1337_2777
10629	----------	----------	----------	A1163|DS499602.1_1511175_1511999	----------	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000147.1_19487_20311
4821	AF293|CM000172.1_219341_221404	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
9326	AF293|CM000175.1_1728878_1732992	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
9324	AF293|CM000175.1_1724760_1725357	AF10|AFXL01000087.1_79831_80428	AF210|AFXM01000206.1_236831_237428	----------	Z5|KQ087364.1_325492_326089	RP2014|JHOI01000302.1_11771_12368	LMB35AA|MCQI02000113.1_66576_67173	----------	----------	----------	----------	HMRAF270|NKHT01000125.1_11861_12458
9325	AF293|CM000175.1_1725688_1726402	AF10|AFXL01000087.1_78793_79512	----------	----------	Z5|KQ087364.1_326419_327133	----------	LMB35AA|MCQI02000113.1_65531_66245	----------	----------	----------	----------	HMRAF270|NKHT01000125.1_12789_13503
8193	AF293|CM000174.1_2258687_2260844	----------	----------	A1163|DS499601.1_1776305_1778462	----------	RP2014|JHOI01000368.1_17290_19393	----------	----------	----------	----------	----------	----------
4748	AF293|CM000172.1_1926_3786	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
11018	----------	----------	----------	----------	----------	----------	----------	----------	ISSFT021|LWRT01000037.1_44_315	----------	----------	----------
9346	AF293|CM000175.1_1887367_1888426	AF10|AFXL01000087.1_53601_54656	AF210|AFXM01000262.1_154969_156028	----------	Z5|KQ087364.1_343627_344686	RP2014|JHOI01000484.1_47759_48779	LMB35AA|MCQI02000113.1_48064_49084	----------	----------	----------	----------	HMRAF270|NKHT01000125.1_29952_30972
6768	AF293|CM000173.1_2119200_2120717	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
3513	AF293|CM000171.1_483690_485174	AF10|AFXL01000070.1_85168_86652	AF210|AFXM01000257.1_84551_85509	A1163|DS499596.1_3633908_3635392	----------	RP2014|JHOI01000562.1_85551_87035	LMB35AA|MCQI02000161.1_304592_306076	JCM10253|BCGY01000011.1_734355_735838	ISSFT021|LWRT01000191.1_539662_541146	IF1SWF4|LWRU01000062.1_85252_86736	HMRAF706|NKHS01000194.1_45087_46571	HMRAF270|NKHT01000090.1_2875_3833
3511	AF293|CM000171.1_480366_481557	AF10|AFXL01000070.1_81849_83040	AF210|AFXM01000257.1_81226_82417	A1163|DS499596.1_3637519_3638710	Z5|KQ087364.1_944382_945573	RP2014|JHOI01000562.1_82227_83418	LMB35AA|MCQI02000161.1_301271_302462	JCM10253|BCGY01000011.1_737973_739164	ISSFT021|LWRT01000191.1_536341_537532	IF1SWF4|LWRU01000062.1_81931_83122	----------	HMRAF270|NKHT01000090.1_1_741
9347	AF293|CM000175.1_1889501_1890190	----------	AF210|AFXM01000262.1_153363_153896	----------	----------	RP2014|JHOI01000484.1_48929_49280	LMB35AA|MCQI02000113.1_49234_49585	----------	----------	----------	----------	HMRAF270|NKHT01000125.1_29452_29803
4747	AF293|CM000171.1_4072815_4076406	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
3695	AF293|CM000171.1_992671_993084	AF10|AFXL01000167.1_37731_38144	AF210|AFXM01000314.1_21940_22353	A1163|DS499596.1_3043699_3044112	Z5|KQ087362.1_3040342_3040755	RP2014|JHOI01000460.1_45769_46762	----------	JCM10253|BCGY01000011.1_251833_252246	ISSFT021|LWRT01000298.1_242629_243042	IF1SWF4|LWRU01000188.1_50679_51092	HMRAF706|NKHS01000207.1_8578_8991	HMRAF270|NKHT01000276.1_13710_14123
3696	AF293|CM000171.1_993191_993583	AF10|AFXL01000167.1_38251_38643	AF210|AFXM01000314.1_21441_21824	A1163|DS499596.1_3043200_3043592	Z5|KQ087362.1_3039843_3040235	----------	LMB35AA|MCQI02000213.1_136266_137259	JCM10253|BCGY01000011.1_251334_251726	ISSFT021|LWRT01000298.1_242130_242522	IF1SWF4|LWRU01000188.1_50180_50572	HMRAF706|NKHS01000207.1_9098_9490	HMRAF270|NKHT01000276.1_14230_14622
8355	AF293|CM000174.1_2691551_2693259	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
6042	AF293|CM000173.1_28410_28639	AF10|AFXL01000087.1_24611_24840	AF210|AFXM01000262.1_115889_116119	----------	----------	----------	LMB35AA|MCQI02000113.1_11940_12166	----------	----------	----------	----------	----------
7413	AF293|CM000173.1_3854455_3854978	----------	----------	A1163|DS499599.1_1975673_1976196	----------	RP2014|JHOI01000386.1_731_1240	----------	----------	----------	----------	----------	----------
6040	AF293|CM000173.1_19086_21497	AF10|AFXL01000087.1_16426_17002	AF210|AFXM01000262.1_103441_104017	----------	Z5|KQ087364.1_395640_396216	RP2014|JHOI01000484.1_2123_2699	LMB35AA|MCQI02000113.1_2205_2781	----------	----------	----------	----------	----------
7411	AF293|CM000173.1_3851273_3852149	----------	----------	A1163|DS499599.1_1972545_1973421	----------	RP2014|JHOI01000217.1_1563_2439	----------	----------	----------	----------	----------	----------
7416	AF293|CM000173.1_3867796_3869539	----------	----------	A1163|DS499599.1_1989014_1990757	----------	RP2014|JHOI01000386.1_14053_15655	----------	JCM10253|BCGY01000006.1_155455_156794	ISSFT021|LWRT01000078.1_131290_132113	----------	HMRAF706|NKHS01000017.1_160961_162300	----------
7417	AF293|CM000173.1_3870634_3872462	----------	----------	A1163|DS499599.1_1992016_1993680	----------	RP2014|JHOI01000386.1_17055_18719	----------	JCM10253|BCGY01000006.1_152134_153946	ISSFT021|LWRT01000078.1_133804_135467	----------	HMRAF706|NKHS01000017.1_157607_159422	----------
7414	AF293|CM000173.1_3857349_3859164	----------	----------	A1163|DS499599.1_1978567_1980382	----------	RP2014|JHOI01000386.1_3625_5440	----------	JCM10253|BCGY01000006.1_165369_167184	----------	----------	----------	----------
7415	AF293|CM000173.1_3863220_3864521	----------	----------	A1163|DS499599.1_1984438_1985739	----------	RP2014|JHOI01000386.1_9787_10797	----------	JCM10253|BCGY01000006.1_159925_161208	ISSFT021|LWRT01000078.1_125995_126954	----------	HMRAF706|NKHS01000017.1_166110_167321	----------
6046	AF293|CM000173.1_41965_42498	AF10|AFXL01000087.1_38035_38568	AF210|AFXM01000262.1_127724_128206	----------	Z5|KQ087364.1_371451_371933	RP2014|JHOI01000484.1_29371_29853	LMB35AA|MCQI02000113.1_29646_30128	JCM10253|BCGY01000010.1_1266002_1266484	----------	----------	----------	HMRAF270|NKHT01000125.1_48908_49390
9408	AF293|CM000176.1_54895_60206	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
7556	AF293|CM000174.1_400258_401331	----------	AF210|AFXM01000366.1_11876_12953	A1163|DS499602.1_904067_905140	Z5|KQ087373.1_890594_891667	RP2014|JHOI01000332.1_1004_2077	LMB35AA|MCQI02000079.1_235657_236730	JCM10253|BCGY01000010.1_893832_894905	----------	IF1SWF4|LWRU01000058.1_3267_4340	----------	HMRAF270|NKHT01000326.1_18351_19424
7555	AF293|CM000174.1_393920_395467	AF10|AFXL01000078.1_1496_3043	AF210|AFXM01000366.1_5543_7090	A1163|DS499602.1_909896_911443	Z5|KQ087373.1_896451_897998	----------	LMB35AA|MCQI02000079.1_241631_243178	JCM10253|BCGY01000010.1_899692_901239	ISSFT021|LWRT01000084.1_1485_3032	----------	HMRAF706|NKHS01000385.1_17403_18603	HMRAF270|NKHT01000326.1_24570_25770
4914	AF293|CM000172.1_711486_712157	----------	----------	----------	Z5|KQ087365.1_1946861_1947618	----------	LMB35AA|MCQI02000084.1_713033_714243	----------	----------	----------	----------	----------
8237	AF293|CM000174.1_2399376_2402725	AF10|AFXL01000033.1_177769_181117	AF210|AFXM01000313.1_98743_102092	A1163|DS499599.1_1099503_1102852	Z5|KQ087358.1_1062815_1066164	RP2014|JHOI01000614.1_76432_79242	----------	JCM10253|BCGY01000009.1_241441_244790	ISSFT021|LWRT01000078.1_257096_260445	IF1SWF4|LWRU01000202.1_18568_21917	HMRAF706|NKHS01000017.1_32617_35966	HMRAF270|NKHT01000009.1_21610_24959
9331	AF293|CM000175.1_1775754_1776665	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
6513	AF293|CM000173.1_1340663_1342105	AF10|AFXL01000061.1_4480_5922	AF210|AFXM01000230.1_22819_24261	A1163|DS499597.1_1247549_1248991	Z5|KQ087363.1_1300469_1301911	RP2014|JHOI01000366.1_13025_14467	LMB35AA|MCQI02000067.1_80324_81766	JCM10253|BCGY01000002.1_2511693_2513135	ISSFT021|LWRT01000228.1_162317_163759	IF1SWF4|LWRU01000105.1_89630_91072	HMRAF706|NKHS01000339.1_2136_3578	----------
9332	AF293|CM000175.1_1809806_1811721	AF10|AFXL01000004.1_7282_9197	AF210|AFXM01000263.1_59677_61592	A1163|DS499600.1_176723_178638	Z5|KQ087364.1_266591_268506	RP2014|JHOI01000287.1_8314_10229	LMB35AA|MCQI02000117.1_34345_36260	----------	----------	----------	----------	HMRAF270|NKHT01000188.1_6985_8900
10409	----------	----------	AF210|AFXM01000360.1_17605_18091	----------	Z5|KQ087358.1_2382763_2383249	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000175.1_39181_39667
8717	AF293|CM000174.1_3748187_3753498	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
6043	AF293|CM000173.1_32871_33471	AF10|AFXL01000087.1_28957_29829	AF210|AFXM01000262.1_118628_119518	----------	Z5|KQ087364.1_380435_381041	RP2014|JHOI01000484.1_20293_21164	LMB35AA|MCQI02000113.1_20567_21438	----------	----------	----------	----------	HMRAF270|NKHT01000125.1_57844_58444
1415	AF293|CM000169.1_4155429_4156568	AF10|AFXL01000180.1_37306_38445	----------	A1163|DS499594.1_4224616_4225755	Z5|KQ087371.1_438292_439431	RP2014|JHOI01000560.1_1277_2416	LMB35AA|MCQI02000182.1_239530_240669	JCM10253|BCGY01000005.1_1934263_1935402	ISSFT021|LWRT01000249.1_6415_7554	IF1SWF4|LWRU01000087.1_548219_549358	HMRAF706|NKHS01000200.1_41195_42334	HMRAF270|NKHT01000076.1_36817_37956
